epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9376,2.18348,5.09931,1.03922,0,0,0,0,1.80455,5.21696,1.02686,0.000540649,0.000540649,0.000540649
2,39.9125,1.87441,3.25908,0.92487,0.00072,0.13043,0.01416,0.00556,1.61894,4.42353,0.98982,0.00108546,0.00108546,0.00108546
3,52.7039,1.89388,2.93858,0.95989,1,0.26106,0.70294,0.35378,1.72924,3.3567,1.04892,0.00161927,0.00161927,0.00161927
4,65.6078,1.80459,2.48415,0.92304,0.68536,0.58909,0.65666,0.34033,1.61101,2.74748,0.99283,0.00161749,0.00161749,0.00161749
5,78.3574,1.75602,2.38059,0.91778,0.71704,0.67826,0.72937,0.41394,1.50335,2.04652,0.96733,0.00160099,0.00160099,0.00160099
6,91.6093,1.63348,2.13417,0.91598,0.73992,0.67945,0.71405,0.40067,1.40145,1.76799,0.95094,0.00158448,0.00158448,0.00158448
7,104.782,1.67455,2.07467,0.90131,0.64758,0.6427,0.66664,0.3269,1.53719,2.0965,0.9459,0.00156798,0.00156798,0.00156798
8,117.777,1.58728,1.90928,0.90157,0.69076,0.74749,0.73693,0.38561,1.6039,1.62483,0.95165,0.00155148,0.00155148,0.00155148
9,130.651,1.58811,1.89431,0.88253,0.69517,0.75955,0.7628,0.40367,1.46223,1.68769,0.93767,0.00153497,0.00153497,0.00153497
10,143.702,1.58231,1.62858,0.87332,0.70529,0.7561,0.78025,0.41909,1.35903,1.38877,0.90287,0.00151847,0.00151847,0.00151847
11,156.727,1.52575,1.59815,0.87718,0.83678,0.75473,0.81206,0.49806,1.29219,1.39479,0.91485,0.00150197,0.00150197,0.00150197
12,169.482,1.47231,1.47352,0.85982,0.82398,0.72805,0.80761,0.49163,1.33738,1.35121,0.89205,0.00148546,0.00148546,0.00148546
13,182.403,1.49207,1.44421,0.86751,0.83245,0.75158,0.81066,0.51275,1.22658,1.17642,0.88884,0.00146896,0.00146896,0.00146896
14,195.775,1.47704,1.39098,0.83535,0.85487,0.79433,0.83171,0.5451,1.14648,1.15163,0.8916,0.00145246,0.00145246,0.00145246
15,208.501,1.47321,1.34593,0.85454,0.82211,0.76334,0.83638,0.50825,1.24535,1.1597,0.8793,0.00143595,0.00143595,0.00143595
16,221.461,1.43428,1.2326,0.85375,0.83019,0.81496,0.8545,0.54885,1.20341,1.04063,0.86556,0.00141945,0.00141945,0.00141945
17,234.729,1.37765,1.1934,0.84558,0.82696,0.79463,0.84089,0.53036,1.16515,1.03388,0.88178,0.00140295,0.00140295,0.00140295
18,247.357,1.41643,1.17334,0.85368,0.82301,0.80058,0.84672,0.53082,1.27837,1.04382,0.87957,0.00138644,0.00138644,0.00138644
19,259.963,1.40429,1.1511,0.82771,0.84192,0.81079,0.84751,0.55354,1.12877,0.96919,0.8733,0.00136994,0.00136994,0.00136994
20,272.984,1.3337,1.12355,0.8289,0.82947,0.8288,0.83903,0.55575,1.07756,0.97131,0.86961,0.00135344,0.00135344,0.00135344
21,285.621,1.31055,1.08888,0.83035,0.80562,0.75294,0.80737,0.52527,1.19562,1.06564,0.85978,0.00133693,0.00133693,0.00133693
22,298.459,1.33828,1.13685,0.82864,0.82724,0.80446,0.84984,0.55464,1.14994,0.93935,0.86732,0.00132043,0.00132043,0.00132043
23,311.452,1.32924,1.04758,0.83848,0.8568,0.82805,0.8567,0.53714,1.19623,0.91058,0.85959,0.00130393,0.00130393,0.00130393
24,324.516,1.45418,1.07409,0.82975,0.82024,0.84118,0.85343,0.52,1.15437,0.88422,0.85818,0.00128742,0.00128742,0.00128742
25,337.493,1.3403,1.02578,0.83658,0.8,0.87059,0.84764,0.56052,1.15009,0.85748,0.86381,0.00127092,0.00127092,0.00127092
26,350.223,1.37279,1.01796,0.81196,0.76918,0.86471,0.85331,0.54317,1.17789,0.88082,0.86065,0.00125442,0.00125442,0.00125442
27,362.959,1.37648,0.97111,0.83112,0.80461,0.82941,0.83374,0.52432,1.12008,0.86381,0.87211,0.00123791,0.00123791,0.00123791
28,375.879,1.3554,0.99813,0.82889,0.83397,0.84706,0.85691,0.54234,1.15597,0.83104,0.86034,0.00122141,0.00122141,0.00122141
29,388.603,1.3282,0.95187,0.8166,0.85331,0.81755,0.85916,0.54404,1.1187,0.8149,0.86033,0.00120491,0.00120491,0.00120491
30,401.882,1.34044,0.94561,0.81247,0.8283,0.85491,0.87394,0.56678,1.08231,0.76342,0.85416,0.0011884,0.0011884,0.0011884
31,414.746,1.26648,0.8751,0.81267,0.87319,0.82805,0.87786,0.5628,1.06447,0.79181,0.85252,0.0011719,0.0011719,0.0011719
32,427.781,1.27404,0.91739,0.81345,0.84977,0.82212,0.86524,0.54799,1.14126,0.80054,0.87045,0.0011554,0.0011554,0.0011554
33,440.846,1.31448,0.91253,0.80521,0.82106,0.82353,0.86245,0.55352,1.15138,0.79155,0.867,0.00113889,0.00113889,0.00113889
34,453.615,1.29355,0.86474,0.8103,0.8873,0.82941,0.87911,0.58504,1.06969,0.76219,0.86162,0.00112239,0.00112239,0.00112239
35,466.556,1.35567,0.90585,0.81587,0.82039,0.86369,0.85578,0.56444,1.0484,0.80225,0.84871,0.00110589,0.00110589,0.00110589
36,479.487,1.32894,0.89468,0.81059,0.79516,0.81695,0.81732,0.54126,1.03813,0.7839,0.84789,0.00108938,0.00108938,0.00108938
37,492.052,1.335,0.87047,0.8065,0.84915,0.84118,0.8653,0.56303,1.06502,0.7505,0.847,0.00107288,0.00107288,0.00107288
38,504.914,1.26309,0.81197,0.81228,0.82811,0.87647,0.87128,0.56762,1.06951,0.72984,0.86306,0.00105638,0.00105638,0.00105638
39,518.012,1.23562,0.80831,0.80559,0.83398,0.89846,0.89054,0.57459,1.07587,0.71693,0.85621,0.00103987,0.00103987,0.00103987
40,531.003,1.26792,0.81589,0.8262,0.84735,0.82941,0.86097,0.60077,1.00973,0.67071,0.85197,0.00102337,0.00102337,0.00102337
41,543.839,1.26644,0.81271,0.81302,0.907,0.82941,0.87894,0.5814,1.03524,0.71818,0.84851,0.00100687,0.00100687,0.00100687
42,556.798,1.22112,0.77069,0.80854,0.80486,0.87554,0.86491,0.59111,1.02846,0.6846,0.8576,0.000990365,0.000990365,0.000990365
43,569.273,1.16933,0.75487,0.81788,0.86274,0.84118,0.86673,0.57539,1.05393,0.73067,0.85254,0.000973861,0.000973861,0.000973861
44,582.002,1.18043,0.74691,0.80902,0.89167,0.83981,0.89284,0.60464,1.0738,0.66066,0.8533,0.000957358,0.000957358,0.000957358
45,594.692,1.25081,0.76342,0.80091,0.87886,0.85741,0.89321,0.60155,0.98567,0.65619,0.84875,0.000940855,0.000940855,0.000940855
46,607.871,1.16797,0.77726,0.81111,0.90255,0.83578,0.88529,0.60519,0.99363,0.66015,0.84516,0.000924352,0.000924352,0.000924352
47,620.874,1.22561,0.7725,0.80576,0.89176,0.86843,0.89524,0.60982,1.00104,0.67234,0.84384,0.000907848,0.000907848,0.000907848
48,633.915,1.18553,0.77045,0.79278,0.88871,0.8357,0.87195,0.59696,0.97343,0.65992,0.8378,0.000891345,0.000891345,0.000891345
49,647.073,1.21475,0.76923,0.7987,0.86652,0.83529,0.87973,0.58828,1.05871,0.66009,0.8493,0.000874842,0.000874842,0.000874842
50,659.89,1.14009,0.75524,0.80634,0.8358,0.87059,0.87342,0.60327,0.99985,0.68162,0.83817,0.000858338,0.000858338,0.000858338
51,672.711,1.17277,0.73225,0.80401,0.81993,0.89775,0.87967,0.57912,1.0179,0.63465,0.83512,0.000841835,0.000841835,0.000841835
52,685.568,1.15996,0.73534,0.79148,0.86938,0.85882,0.88415,0.59824,1.01051,0.63638,0.83917,0.000825332,0.000825332,0.000825332
53,698.448,1.18959,0.71896,0.81157,0.89345,0.83529,0.88306,0.57201,1.07269,0.6605,0.84539,0.000808828,0.000808828,0.000808828
